fname,Electronic,Experimental,Folk,Hip-Hop,Instrumental,International,Pop,Rock,y_pred,preview_url,picture
A Tribe Called Quest_Can I Kick It.wav,0.107971229,0.079478838,0.078452177,0.27546227,0.017200081,0.201510251,0.147243634,0.092681542,Hip-Hop,https://p.scdn.co/mp3-preview/c6469c3260465dd11d9efe5c2d35c3aca3bcc2b2?cid=774b29d4f13844c495f206cafdad9c86,https://i.scdn.co/image/ab67616d0000b27380e1e80874a5b25317c380c5
A$AP Rocky_Peso.wav,0.049390804,0.099936165,0.162184969,0.342473358,0.010212584,0.084529236,0.178723693,0.072549202,Hip-Hop,https://p.scdn.co/mp3-preview/27bf35b15b405f3dcc112d2f939bffe5efbc7509?cid=774b29d4f13844c495f206cafdad9c86,https://i.scdn.co/image/ab67616d0000b27380e1e80874a5b25317c380c5
Adele_Rolling in the Deep.wav,0.079746313,0.121560849,0.059849948,0.190016881,0.001127942,0.110612333,0.126869977,0.31021598,Rock,https://p.scdn.co/mp3-preview/b2ba47ab9af2b4cd08a04e45b94803bd076c209d?cid=774b29d4f13844c495f206cafdad9c86,https://i.scdn.co/image/ab67616d0000b27380e1e80874a5b25317c380c5
Aerosmith_Dream On.wav,0.042199809,0.069799855,0.100221388,0.125522092,0.017380049,0.13197203,0.138582587,0.374322295,Rock,https://p.scdn.co/mp3-preview/4c7fea33f70ea10631656c9bccace988ee2aaa42?cid=774b29d4f13844c495f206cafdad9c86,https://i.scdn.co/image/ab67616d0000b27380e1e80874a5b25317c380c5
Alam Khan_Pilu Ragmala in Rupak.wav,0.008208796,0.068910889,0.226028576,0.101498678,0.117699154,0.320114255,0.103805773,0.053733904,International,https://p.scdn.co/mp3-preview/0533f6d68f248a945180830ff0ef0d40684d9ecf?cid=774b29d4f13844c495f206cafdad9c86,https://i.scdn.co/image/ab67616d0000b27380e1e80874a5b25317c380c5
Alan Walker_Darkside.wav,0.243603811,0.205737576,0.039599206,0.185736552,0.002968563,0.092108048,0.094839901,0.135406345,Electronic,https://p.scdn.co/mp3-preview/2acc534ac733f8868c98e13e4f71917fae2e3ce3?cid=774b29d4f13844c495f206cafdad9c86,https://i.scdn.co/image/ab67616d0000b27380e1e80874a5b25317c380c5
America_A Horse with No Name.wav,0.014990027,0.073160954,0.216664493,0.086344711,0.020601768,0.28056854,0.1457638,0.161905542,International,https://p.scdn.co/mp3-preview/39160b959b9c3ef5eb82314160eb168af167ac3b?cid=774b29d4f13844c495f206cafdad9c86,https://i.scdn.co/image/ab67616d0000b27380e1e80874a5b25317c380c5
"Antonio Vivaldi_Concerto for 2 Violins in A Minor, RV 522  I. Allegro.wav",0.018332791,0.110722519,0.099686116,0.09975668,0.052637696,0.290234625,0.130828813,0.197800979,International,https://p.scdn.co/mp3-preview/fe6a204edff31dd782ad6ea7228ff205712a7fc6?cid=774b29d4f13844c495f206cafdad9c86,https://i.scdn.co/image/ab67616d0000b27380e1e80874a5b25317c380c5
"Antonio Vivaldi_Vivaldi  Violin Concerto in E Major, RV 269, No. 1, Spring  I. Allegro.wav",0.016476421,0.103832744,0.086868741,0.108233452,0.092712685,0.29685244,0.084722705,0.210300684,International,https://p.scdn.co/mp3-preview/cad596c7097710c356217227400501a6e231996d?cid=774b29d4f13844c495f206cafdad9c86,https://i.scdn.co/image/ab67616d0000b27380e1e80874a5b25317c380c5
"Antonio Vivaldi_Vivaldi Variation (Arr. for Piano from Concerto for Strings in G Minor, RV 156).wav",0.026510736,0.102125756,0.540264785,0.045655038,0.064310707,0.06051283,0.092671722,0.067948379,Folk,https://p.scdn.co/mp3-preview/cad596c7097710c356217227400501a6e231996d?cid=774b29d4f13844c495f206cafdad9c86,https://i.scdn.co/image/ab67616d0000b27380e1e80874a5b25317c380c5
Arcana_As the End Draws Near.wav,0.065284006,0.082255833,0.1541574,0.121155411,0.006866355,0.0500242,0.25564599,0.264610767,Rock,https://p.scdn.co/mp3-preview/7e524f91e74785a5a2d5da1851e45eac74354f87?cid=774b29d4f13844c495f206cafdad9c86,https://i.scdn.co/image/ab67616d0000b27380e1e80874a5b25317c380c5
